Epoch,Loss,TrainingError,TestingError,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,PhatBar_6,S,S_1,S_2,S_3,S_4,S_5,S_6
168,19.487175,0.024557054,0.101958334,0.49832943,0.49998376,0.5178411,0.50625473,0.5200594,0.51519793,1670,209,89,484,284,92,512
169,19.390446,0.024557054,0.101958334,0.49826103,0.52783775,0.5177463,0.5062659,0.51334256,0.51509523,1670,209,89,484,284,92,512
170,19.190327,0.024557054,0.101647496,0.49819413,0.50016886,0.5176498,0.5062704,0.51965636,0.51499426,1670,209,89,484,284,92,512
171,19.098476,0.024557054,0.101647496,0.49812865,0.52765024,0.51754856,0.5062952,0.5130334,0.51488936,1670,209,89,484,284,92,512
172,18.907888,0.024557054,0.101647496,0.49806446,0.5003333,0.51744163,0.5063087,0.51927423,0.51479113,1670,209,89,484,284,92,512
173,18.82139,0.024557054,0.10102582,0.49800158,0.52748334,0.5173385,0.50632477,0.5127369,0.5146924,1670,209,89,484,284,92,512
174,18.637897,0.024557054,0.10102582,0.49794006,0.500479,0.5172261,0.5063581,0.5189108,0.51459813,1670,209,89,484,284,92,512
175,18.553974,0.024557054,0.10102582,0.4978801,0.52734077,0.5171738,0.5063708,0.5124467,0.5145172,1670,209,89,484,284,92,512
176,18.377995,0.024557054,0.10133666,0.4978213,0.5006028,0.5171245,0.5063906,0.5185674,0.514428,1670,209,89,484,284,92,512
177,18.301779,0.024557054,0.10133666,0.4977639,0.5272187,0.5170461,0.50641334,0.51217043,0.5143425,1670,209,89,484,284,92,512
178,18.128304,0.024557054,0.10133666,0.49770772,0.5007128,0.5169513,0.5064317,0.5182444,0.51425874,1670,209,89,484,284,92,512
179,18.056524,0.024867892,0.10133666,0.49765277,0.5271101,0.516845,0.5064709,0.5119072,0.5141672,1670,209,89,484,284,92,512
180,17.891977,0.024867892,0.10133666,0.49759898,0.500803,0.51674443,0.50649756,0.51794076,0.5140833,1670,209,89,484,284,92,512
181,17.822063,0.024867892,0.10133666,0.49754626,0.5270184,0.51657647,0.5065332,0.51165384,0.51400125,1670,209,89,484,284,92,512
182,17.662363,0.024867892,0.10102582,0.4974948,0.5008812,0.51641214,0.5065685,0.5176558,0.51391685,1670,209,89,484,284,92,512
183,17.598124,0.024867892,0.10102582,0.49744442,0.5269411,0.51626503,0.5066117,0.511413,0.5138334,1670,209,89,484,284,92,512
184,17.442785,0.024867892,0.10102582,0.49739507,0.50094664,0.5161213,0.506646,0.5173899,0.5137551,1670,209,89,484,284,92,512
