Epoch,Loss,PhatBar_1,PhatBar_2,PhatBar_3,PhatBar_4,PhatBar_5,S,S_1,S_2,S_3,S_4,S_5,TestingError,TrainingError
185,0.14968197,0.691643476,0.569691062,0.78964597,0.665676177,0.621830285,482,91,99,96,97,99,0.213999987,0.058000028
186,0.149398834,0.691615224,0.569764078,0.789505482,0.665656328,0.62184155,482,91,99,96,97,99,0.216000021,0.058000028
187,0.149132013,0.691586614,0.569828331,0.789432526,0.66563803,0.621844172,482,91,99,96,97,99,0.216000021,0.058000028
188,0.148861855,0.691557884,0.56990087,0.789288044,0.665618598,0.621854901,482,91,99,96,97,99,0.217999995,0.058000028
189,0.148572057,0.691525161,0.569970548,0.789120436,0.665594935,0.62187016,482,91,99,96,97,99,0.217999995,0.060000002
190,0.14833875,0.691500127,0.57004112,0.789079368,0.665572047,0.621864438,482,91,99,96,97,99,0.217999995,0.060000002
191,0.148055539,0.691473424,0.570098817,0.788936675,0.665549159,0.621882558,482,91,99,96,97,99,0.217999995,0.060000002
192,0.147774637,0.691440582,0.570166528,0.788778126,0.665527582,0.621895671,482,91,99,96,97,99,0.217999995,0.061999977
193,0.147523239,0.691408992,0.570249557,0.788662434,0.665507197,0.621901333,482,91,99,96,97,99,0.216000021,0.06400001
194,0.147254124,0.691376984,0.570317984,0.788523495,0.665481985,0.621913373,482,91,99,96,97,99,0.217999995,0.06400001
195,0.147013262,0.691346765,0.570378661,0.788478315,0.665461123,0.621914744,482,91,99,96,97,99,0.217999995,0.06400001
196,0.146785557,0.691313684,0.570438027,0.788363636,0.665440917,0.621924996,482,91,99,96,97,99,0.220000029,0.06400001
197,0.146522775,0.691288054,0.570513844,0.788231611,0.665419757,0.621935666,482,91,99,96,97,99,0.220000029,0.065999985
198,0.146284342,0.691254139,0.570584238,0.788111687,0.665403306,0.621945679,482,91,99,96,97,99,0.222000003,0.068000019
199,0.146058246,0.691220641,0.570648015,0.788086653,0.665377259,0.621946573,482,91,99,96,97,99,0.222000003,0.068000019
200,0.145813182,0.691192389,0.570714056,0.787963092,0.6653561,0.621958852,482,91,99,96,97,99,0.222000003,0.068000019
201,0.145579442,0.69115454,0.570766807,0.78787452,0.665334642,0.621972024,482,91,99,96,97,99,0.222000003,0.068000019
202,0.145339713,0.691119671,0.570837438,0.787763596,0.665308714,0.621978223,482,91,99,96,97,99,0.223999977,0.068000019
203,0.145103514,0.691086173,0.570913732,0.787643909,0.665288925,0.621989071,482,91,99,96,97,99,0.223999977,0.068000019
204,0.144887149,0.691061318,0.570967793,0.787586868,0.665264189,0.62199676,482,91,99,96,97,99,0.223999977,0.068000019
205,0.144653112,0.691018641,0.571031332,0.787494004,0.665250242,0.622006834,482,91,99,96,97,99,0.223999977,0.069999993
206,0.144417718,0.690977514,0.571098328,0.787378967,0.665213227,0.622017562,482,91,99,96,97,99,0.223999977,0.069999993
207,0.144190356,0.690942585,0.571159542,0.787298858,0.665189862,0.622025907,482,91,99,96,97,99,0.223999977,0.072000027
208,0.143988475,0.690915048,0.571211398,0.787196815,0.66516906,0.622037709,482,91,99,96,97,99,0.223999977,0.072000027
209,0.143765852,0.690876424,0.571265399,0.787139714,0.665150583,0.622045219,482,91,99,96,97,99,0.223999977,0.074000001
210,0.143549547,0.690840065,0.571319759,0.787047863,0.665118635,0.622054994,482,91,99,96,97,99,0.223999977,0.078000009
211,0.143348083,0.690802872,0.571373284,0.787009537,0.665087879,0.622060776,482,91,99,96,97,99,0.223999977,0.078000009
212,0.143126547,0.690769911,0.571445167,0.786868274,0.665078998,0.622072637,482,91,99,96,97,99,0.222000003,0.078000009
213,0.142923117,0.69073391,0.571484745,0.786828339,0.665040314,0.622081578,482,91,99,96,97,99,0.222000003,0.078000009
214,0.142688543,0.69069618,0.571550071,0.786714256,0.665008724,0.622094631,482,91,99,96,97,99,0.222000003,0.078000009
215,0.142483667,0.690651715,0.571612775,0.786617577,0.664987683,0.62210387,482,91,99,96,97,99,0.220000029,0.078000009
216,0.142273113,0.690617621,0.571665466,0.786580324,0.664958656,0.622109175,482,91,99,96,97,99,0.220000029,0.078000009
